# SRC: SgrA 
# RA: 17 h 45 m 40.0409 s
# DEC: -28 deg 59 m 31.8820 s
# MJD: 48277.0000 - 48278.0069 
# RF: 14.9000 GHz 
# BW: 4.0000 GHz 
# PHASECAL: 1 
# AMPCAL: 1 
# -------------------------------------------------------------------------------------------------------------------------------------------------
# time (hr)   T1     T2    tint    U (lambda)       V (lambda)       Iamp (Jy)    Iphase(d)  Qamp (Jy)    Qphase(d)   Uamp (Jy)    Uphase(d)   sigma (Jy)
01.33333333    SPT    LMT   60.00   -84063509.1937  -505787171.2616    0.00410979    69.1614   0.00235463  -136.7416    0.00164762   -55.5191    0.00155257
01.33333333    SPT    SMA   60.00   199334542.6645  -477670879.8764    0.00506650  -129.5722   0.00292843   174.9708    0.00370330    69.9609    0.00459256
01.33333333    SPT    SMT   60.00   -17202028.0998  -554702999.0786    0.00680296    22.9825   0.01752560    20.1786    0.00884526  -127.6859    0.00715699
01.50000000   ALMA    LMT   60.00   121678359.3115  -241029748.3894    0.00078561   -91.1879   0.00061385  -141.6502    0.00106356   -36.6133    0.00057571
01.50000000   ALMA    SMA   60.00   407678670.2298  -218935403.7723    0.00092777   -55.4896   0.00144332   148.1364    0.00219519   131.5508    0.00170297
01.50000000   ALMA    SMT   60.00   189412746.2828  -291369059.6685    0.00215101  -135.2903   0.00191158   122.1898    0.00292367   -61.7601    0.00265388
01.50000000   ALMA    SPT   60.00   218227020.4693   262847271.8309    0.00310850   146.3371   0.00168791  -145.5925    0.00033179  -118.6537    0.00097312
01.50000000    LMT   ALMA   60.00  -121678359.3115   241029748.3894    0.00062051   159.2025   0.00094576    35.6184    0.00079704   -98.5376    0.00057571
01.50000000    LMT    SMA   60.00   286000310.9183    22094344.6171    0.00249010  -148.4083   0.00382742   140.1254    0.00357105  -137.7062    0.00271699
01.50000000    LMT    SMT   60.00    67734386.9713   -50339311.2790    0.00648459   102.3505   0.00672945   122.1412    0.00887481   166.7667    0.00423413
01.50000000    LMT    SPT   60.00    96548661.1578   503877020.2204    0.00322012   143.1811   0.00283880  -167.4609    0.00097633   -64.9486    0.00155257
01.50000000    SMA   ALMA   60.00  -407678670.2298   218935403.7723    0.00464959    12.2599   0.00104399   122.6964    0.00339013   171.5635    0.00170297
01.50000000    SMA    LMT   60.00  -286000310.9183   -22094344.6171    0.00344964   -93.0299   0.00273546    49.0427    0.00313697   -95.8935    0.00271699
01.50000000    SMA    SMT   60.00  -218265923.9470   -72433655.8961    0.02148336    23.5947   0.00450708  -173.6695    0.02381549   -42.2184    0.01252473
01.50000000    SMA    SPT   60.00  -189451649.7605   481782675.6033    0.01167577  -137.3568   0.00381690   -35.3047    0.00332475    71.7051    0.00459256
01.50000000    SMT   ALMA   60.00  -189412746.2828   291369059.6685    0.00585195    47.0214   0.00259069   -30.6076    0.00331185   174.5415    0.00265388
01.50000000    SMT    LMT   60.00   -67734386.9713    50339311.2790    0.00610492   177.7185   0.00304610  -143.7545    0.00579484  -130.9367    0.00423413
01.50000000    SMT    SMA   60.00   218265923.9470    72433655.8961    0.01655881    81.1024   0.02810694  -110.5629    0.01400484    32.3523    0.01252473
